trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-35.47901836691506,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-76.36509922937296,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,12,-166.70822281043186,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-200.83024511442403,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-240.75122646837295,"{0: 9, 1: 3, 2: 8, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-152.78271134893131,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-47.74773149447214,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-47.942165345584016,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-154.0354639496505,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-58.08784849798659,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,4,-22.517535630759703,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-99.64055952151811,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-40.260677066858314,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-87.81495043616535,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-169.90334286656048,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-171.144274023245,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-53.13712194305543,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-95.33672407610663,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,9.380066161395025,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-41.49332037134973,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.96200988490075,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-22.794642888565853,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,1.7985881312687861,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,4.392599311519187,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,8.961581348202023,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,12,-89.34612308600659,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.65147134095767,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,16,-28.85892402898524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-41.24862790062695,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-60.578440639809386,"{0: 26, 1: 1, 2: 0, 3: 2, 4: 1}",0
