trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",25,0,-153.3853703623644,"{0: 9, 1: 7, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",35,0,-297.57070002384336,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030628}",25,0,-87.91101590653537,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067554}",25,0,-169.46808229466205,"{0: 10, 1: 8, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283327}",20,0,-71.92510887516133,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485083}",25,0,-105.29104120783349,"{0: 16, 1: 1, 2: 4, 3: 4, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575666}",20,3,-102.62536055566278,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9607894391523233}",25,0,-201.0149087361061,"{0: 10, 1: 6, 2: 4, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-158.99265767772528,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-143.13153165367433,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534839}",20,0,-208.26792827843644,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842488}",20,0,-146.9773418463533,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774035}",20,7,-12.415826375718892,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9323938199059484}",25,0,-68.03582816604884,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
