trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-135.85513218107474,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359596}",25,13,-40.08074558581376,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8607079764250579}",20,0,-103.79875071882458,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.8187307530779819}",30,12,-48.45191912819603,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.778800783071405}",25,0,-137.26832390224098,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.740818220681718}",25,0,-141.83611512975278,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187136}",20,0,-87.90861656616632,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356394}",25,0,-133.07294891568057,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6376281516217734}",25,0,-87.86272127403011,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126335}",20,9,-52.47996942944343,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5769498103804868}",25,0,-86.22916838496553,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,0,-154.55521140038968,"{0: 21, 1: 3, 2: 1, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.5220457767610162}",30,0,-129.72321359852492,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.49658530379140964}",20,3,-28.903868752165298,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.4723665527410148}",25,0,-10.627687771868764,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.4493289641172217}",20,0,-42.080348264302245,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872676}",25,0,-31.76855826621817,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405992}",25,0,-9.45139033658378,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.3867410234545013}",25,0,-177.95969503792898,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.3678794411714424}",20,0,-40.61484922743889,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.34993774911115544}",25,0,-45.808463476768445,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.33287108369807966}",25,0,-92.21692140836161,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.31663676937905333}",20,0,-40.97463503527004,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.3011942119122022}",20,0,16.393709691304583,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
