trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",25,15,-38.5682698671419,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9048374180359596}",25,0,-73.37618234330343,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250579}",20,0,-162.58117973252737,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779819}",30,0,-80.90494093238286,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.778800783071405}",20,0,-114.97358961295602,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.740818220681718}",20,0,-101.50578357085678,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187136}",20,0,-61.60280870881288,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356394}",20,0,-12.468514664232782,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6376281516217734}",25,0,-88.1522083376214,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126335}",20,0,-31.798736128259957,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5769498103804868}",25,0,-64.55734201518182,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,8,-41.987349362309665,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.5220457767610162}",25,0,-83.27646738529828,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.49658530379140964}",20,12,-7.511415926532225,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.4723665527410148}",20,0,-100.53661006416935,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.4493289641172217}",30,0,-123.79513778166674,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872676}",25,0,-65.1947109766167,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405992}",20,0,-62.28351262461899,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.3867410234545013}",25,0,-177.9217313182061,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.3678794411714424}",20,0,-60.871190468944064,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.34993774911115544}",30,0,-32.579771975564405,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.33287108369807966}",20,7,-36.324432580734786,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.31663676937905333}",20,0,-94.69230614129596,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.3011942119122022}",30,0,-63.16171579154515,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.2865047968601902}",25,0,0.17535658680230126,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.2725317930340127}",20,0,-34.45312220582262,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.2592402606458916}",30,0,-18.553125756545807,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.24659696394160657}",35,0,-96.01869849138438,"{0: 27, 1: 2, 2: 2, 3: 3, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.23457028809379774}",20,0,-7.705901503958991,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.2231301601484299}",25,0,-16.17503732321842,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.21224797382674312}",20,0,-52.364125796382474,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
