trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-182.05998104775816,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359596}",30,0,-285.7595090730468,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250579}",20,0,-185.94657882638643,"{0: 9, 1: 2, 2: 3, 3: 4, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779819}",20,0,-95.11574220560946,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.778800783071405}",20,0,-107.55854341356584,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.740818220681718}",35,0,-218.52877932127012,"{0: 20, 1: 1, 2: 11, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187136}",25,0,-49.06564369689393,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356394}",25,15,-65.65755706408348,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.6376281516217734}",25,0,-154.03816324989913,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126335}",25,0,-136.46519049824377,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5769498103804868}",25,0,-131.66065615870556,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-76.56702903686687,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5220457767610162}",35,0,-177.90919942806568,"{0: 19, 1: 5, 2: 9, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.49658530379140964}",30,0,-209.50613145319016,"{0: 13, 1: 4, 2: 8, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.4723665527410148}",25,0,-291.56706726979405,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.4493289641172217}",20,0,-72.52906727771591,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872676}",25,0,-139.46760204132676,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405992}",25,3,-102.91799551541959,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.3867410234545013}",30,0,-180.19625921993037,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.3678794411714424}",20,0,-126.34795104690748,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-188.04151371465653,"{0: 6, 1: 6, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-75.26792038814477,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-137.57400108885608,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-143.2099373022174,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-156.63458405923686,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-196.82391966980782,"{0: 9, 1: 5, 2: 8, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-133.77058356511236,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-175.20120919681685,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-143.32182866761985,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-222.7300760005916,"{0: 19, 1: 0, 2: 4, 3: 4, 4: 3}",0
